time,co,co2,hap_bat_v,p1,p2,sensor_id,topic,type
2017-05-15T08:55:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:54:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:53:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:52:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:51:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:51:23Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:49:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:48:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:47:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:47:21Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:45:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:44:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:43:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:42:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:41:43Z,0,0,4.18,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:40:39Z,0,0,4.18,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:39:40Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:38:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:37:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:36:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:35:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:34:45Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:33:45Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:32:42Z,0,0,4.18,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:31:39Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:30:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:29:39Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:28:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:28:22Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:26:43Z,0,0,4.18,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:25:42Z,0,0,4.18,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:24:39Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:23:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:22:43Z,0,0,4.18,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:21:40Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:20:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:19:41Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:18:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:17:39Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:16:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:15:45Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:14:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:13:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:12:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:11:45Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:10:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:09:45Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:08:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:07:40Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:06:39Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:05:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:04:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:03:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:02:48Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:01:45Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T08:00:40Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:59:39Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:58:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:57:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:56:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:55:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:54:45Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:53:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:52:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:51:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:50:45Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:49:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:48:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:47:44Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:47:23Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:45:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:44:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:43:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:42:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:41:43Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:41:20Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:39:45Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:38:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:37:39Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:36:44Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:36:23Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:34:42Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:34:21Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:32:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:31:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:30:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:29:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:28:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:27:45Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:26:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:25:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:24:45Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:23:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:22:40Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:21:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:20:46Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:19:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:18:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:17:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:16:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:15:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:14:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:13:45Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:12:39Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:11:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:10:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:09:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:08:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:07:45Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:06:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:05:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:04:45Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:03:44Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:02:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:01:44Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T07:01:15Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:59:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:58:42Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:57:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:56:45Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:55:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:54:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:53:39Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:52:45Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:51:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:50:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:49:39Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:48:45Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:47:43Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:46:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:45:44Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:44:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:43:45Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:42:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:41:43Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:40:45Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:39:43Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:38:45Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:37:44Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:36:45Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:35:42Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:34:45Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:33:43Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:32:45Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:31:42Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:30:44Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T06:29:44Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
